Objective,AvgSim_Nodes,BestLO_Nodes,Global_Nodes,AvgSim_Edges,BestLO_Edges,Global_Edges
50315,0.721474,0.680672,0.6,0.258343,0.273885,0.197605
51771,0.668151,0.652893,0.6,0.250638,0.265823,0.219512
49660,0.710134,0.694915,0.652893,0.278403,0.30719,0.265823
47567,0.717264,0.769912,0.680672,0.27898,0.369863,0.282051
48356,0.756228,0.801802,0.73913,0.297915,0.41844,0.333333
49192,0.685366,0.694915,0.666667,0.278166,0.369863,0.351351
49630,0.683922,0.680672,0.680672,0.2624,0.257862,0.290323
49587,0.704763,0.724138,0.652893,0.267777,0.298701,0.30719
48171,0.697062,0.680672,0.666667,0.283286,0.257862,0.282051
47765,0.730732,0.73913,0.694915,0.293768,0.324503,0.298701
46943,0.684863,0.769912,0.680672,0.257535,0.37931,0.298701
47898,0.725035,0.73913,0.694915,0.303364,0.360544,0.315789
48549,0.747869,0.769912,0.724138,0.309956,0.360544,0.30719
50336,0.720674,0.694915,0.666667,0.263708,0.265823,0.265823
49196,0.673385,0.709402,0.666667,0.232733,0.25,0.242236
49630,0.704515,0.769912,0.680672,0.277653,0.37931,0.257862
50502,0.697228,0.680672,0.6,0.272343,0.315789,0.242236
49912,0.690305,0.639344,0.652893,0.280777,0.282051,0.273885
49266,0.704174,0.724138,0.694915,0.254814,0.282051,0.265823
49267,0.729487,0.73913,0.694915,0.280992,0.351351,0.273885
46993,0.733019,0.785714,0.666667,0.284081,0.360544,0.265823
48817,0.735743,0.709402,0.652893,0.267457,0.315789,0.242236
49783,0.705461,0.724138,0.652893,0.267357,0.333333,0.273885
51311,0.700808,0.666667,0.587302,0.263342,0.30719,0.242236
48089,0.711463,0.785714,0.73913,0.27098,0.324503,0.30719
48141,0.705348,0.769912,0.694915,0.267957,0.333333,0.298701
51277,0.704928,0.680672,0.666667,0.264519,0.242236,0.298701
48221,0.695834,0.73913,0.680672,0.257637,0.30719,0.298701
51085,0.72182,0.694915,0.639344,0.249148,0.257862,0.25
50519,0.71193,0.694915,0.639344,0.254828,0.282051,0.219512
49617,0.704718,0.680672,0.612903,0.286786,0.265823,0.265823
49397,0.721943,0.73913,0.694915,0.263152,0.25,0.219512
48872,0.712028,0.724138,0.652893,0.276739,0.324503,0.324503
50085,0.716382,0.666667,0.6,0.27312,0.324503,0.219512
48055,0.683885,0.769912,0.666667,0.267742,0.388889,0.282051
47700,0.724306,0.769912,0.666667,0.282808,0.315789,0.265823
48364,0.694818,0.754386,0.724138,0.258403,0.30719,0.388889
47665,0.71957,0.769912,0.666667,0.295691,0.333333,0.265823
48645,0.71269,0.724138,0.694915,0.282013,0.273885,0.298701
51832,0.67222,0.666667,0.639344,0.239194,0.25,0.242236
47757,0.728099,0.73913,0.724138,0.280732,0.298701,0.333333
47665,0.720853,0.754386,0.694915,0.271885,0.324503,0.273885
50641,0.694548,0.694915,0.626016,0.246032,0.282051,0.234568
48039,0.715181,0.724138,0.666667,0.294956,0.37931,0.282051
47129,0.726997,0.785714,0.680672,0.306926,0.408451,0.342282
48258,0.726827,0.769912,0.73913,0.282258,0.333333,0.360544
49369,0.717826,0.680672,0.680672,0.28268,0.298701,0.298701
46893,0.722381,0.801802,0.652893,0.28814,0.438849,0.242236
50134,0.704835,0.694915,0.639344,0.261877,0.219512,0.265823
50818,0.709783,0.694915,0.626016,0.281949,0.333333,0.226994
48299,0.719652,0.769912,0.694915,0.266021,0.388889,0.257862
50348,0.693434,0.724138,0.626016,0.250883,0.30719,0.219512
47536,0.72829,0.769912,0.652893,0.289175,0.30719,0.282051
49230,0.704708,0.694915,0.652893,0.279532,0.315789,0.342282
47874,0.733208,0.818182,0.709402,0.276155,0.360544,0.282051
47043,0.704988,0.754386,0.709402,0.278351,0.30719,0.290323
