Objective,AvgSim_Nodes,BestLO_Nodes,Global_Nodes,AvgSim_Edges,BestLO_Edges,Global_Edges
75258,0.785739,0.73913,0.724138,0.311916,0.282051,0.290323
76171,0.73604,0.694915,0.694915,0.301568,0.290323,0.324503
72664,0.801653,0.801802,0.769912,0.324328,0.333333,0.360544
74667,0.761187,0.754386,0.709402,0.298784,0.298701,0.315789
74374,0.770261,0.724138,0.709402,0.296237,0.351351,0.315789
73004,0.789752,0.785714,0.73913,0.312188,0.324503,0.30719
74202,0.813458,0.818182,0.73913,0.31113,0.298701,0.315789
73540,0.782654,0.754386,0.769912,0.301995,0.290323,0.290323
77288,0.760128,0.680672,0.680672,0.281286,0.290323,0.265823
73924,0.793458,0.834862,0.754386,0.308828,0.388889,0.342282
73082,0.791088,0.869159,0.769912,0.292617,0.37931,0.282051
72993,0.811798,0.818182,0.769912,0.294695,0.333333,0.298701
75628,0.763614,0.724138,0.709402,0.277057,0.282051,0.257862
75854,0.78265,0.754386,0.694915,0.308303,0.324503,0.290323
73643,0.787785,0.801802,0.769912,0.319488,0.298701,0.37931
73724,0.80771,0.801802,0.73913,0.316093,0.360544,0.351351
74237,0.80066,0.769912,0.694915,0.313268,0.298701,0.265823
74227,0.787946,0.769912,0.724138,0.304806,0.298701,0.30719
73385,0.807491,0.801802,0.754386,0.302733,0.315789,0.315789
76841,0.748887,0.694915,0.680672,0.275934,0.242236,0.242236
72849,0.778198,0.801802,0.754386,0.313459,0.30719,0.298701
75001,0.80719,0.754386,0.724138,0.302877,0.257862,0.298701
73423,0.804273,0.801802,0.73913,0.332033,0.428571,0.351351
73999,0.804016,0.818182,0.73913,0.30969,0.282051,0.257862
72328,0.786427,0.769912,0.785714,0.311101,0.298701,0.324503
73614,0.78568,0.801802,0.754386,0.32299,0.351351,0.333333
76390,0.74158,0.801802,0.724138,0.267714,0.282051,0.273885
75365,0.792285,0.785714,0.694915,0.308545,0.342282,0.298701
72999,0.801593,0.769912,0.754386,0.333829,0.324503,0.342282
73711,0.793421,0.818182,0.754386,0.296317,0.298701,0.273885
73946,0.777052,0.73913,0.73913,0.302936,0.290323,0.30719
73806,0.784752,0.785714,0.754386,0.319121,0.298701,0.360544
75219,0.766261,0.724138,0.73913,0.283899,0.298701,0.298701
